subject,activity,har_label,is_fall,in_har,mmwave_path,imu_path,start_time,n_reps,cut_timestamps
2,sit,0,0,1,node_1/mmWave/data/20240518134359_node_1_modality_mmwave_subject_2_activity_sit_trial_1.pickle,imu/20240518134357_node_1_modality_imu.pickle,2024-05-18 13:43:59.273,10,"['2024-05-18 13.44.02.848', '2024-05-18 13.44.11.573', '2024-05-18 13.44.21.198', '2024-05-18 13.44.31.231', '2024-05-18 13.44.40.939', '2024-05-18 13.44.49.739', '2024-05-18 13.44.59.531', '2024-05-18 13.45.08.331', '2024-05-18 13.45.17.298', '2024-05-18 13.45.24.298']"
2,walk,1,0,1,node_1/mmWave/data/20240518135416_node_1_modality_mmwave_subject_2_activity_walk_trial_1.pickle,imu/20240518135412_node_1_modality_imu.pickle,2024-05-18 13:54:13.216,11,"['2024-05-18 13.54.19.207', '2024-05-18 13.54.27.316', '2024-05-18 13.54.38.307', '2024-05-18 13.54.48.582', '2024-05-18 13.54.57.774', '2024-05-18 13.55.05.882', '2024-05-18 13.55.14.616', '2024-05-18 13.55.22.999', '2024-05-18 13.55.32.099', '2024-05-18 13.55.40.566', '2024-05-18 13.55.48.766']"
2,sleep,2,0,1,node_1/mmWave/data/20240518140012_node_1_modality_mmwave_subject_2_activity_sleep_trial_1.pickle,imu/20240518140009_node_1_modality_imu.pickle,2024-05-18 14:00:11.404,11,"['2024-05-18 14.00.16.579', '2024-05-18 14.00.22.120', '2024-05-18 14.00.28.712', '2024-05-18 14.00.33.804', '2024-05-18 14.00.39.070', '2024-05-18 14.00.45.545', '2024-05-18 14.00.50.754', '2024-05-18 14.00.55.904', '2024-05-18 14.01.01.054', '2024-05-18 14.01.06.037', '2024-05-18 14.01.10.079']"
2,jog,10,0,1,node_1/mmWave/data/20240518140912_node_1_modality_mmwave_subject_2_activity_jog_trial_1.pickle,imu/20240518140909_node_1_modality_imu.pickle,2024-05-18 14:09:10.901,11,"['2024-05-18 14.09.14.917', '2024-05-18 14.09.26.426', '2024-05-18 14.09.39.226', '2024-05-18 14.09.51.551', '2024-05-18 14.10.05.509', '2024-05-18 14.10.18.767', '2024-05-18 14.10.31.909', '2024-05-18 14.10.45.051', '2024-05-18 14.10.58.776', '2024-05-18 14.11.11.917', '2024-05-18 14.11.20.526']"
2,falldown,-1,1,0,node_1/mmWave/data/20240518141824_node_1_modality_mmwave_subject_2_activity_falldown_trial_2.pickle,imu/20240518141821_node_1_modality_imu.pickle,2024-05-18 14:18:23.206,11,"['2024-05-18 14.18.27.406', '2024-05-18 14.18.37.981', '2024-05-18 14.18.49.914', '2024-05-18 14.19.01.214', '2024-05-18 14.19.12.006', '2024-05-18 14.19.23.622', '2024-05-18 14.19.35.131', '2024-05-18 14.19.45.914', '2024-05-18 14.19.57.014', '2024-05-18 14.20.08.214', '2024-05-18 14.20.18.481']"
2,squat,5,0,1,node_1/mmWave/data/20240518143448_node_1_modality_mmwave_subject_2_activity_squat_trial_1.pickle,imu/20240518143446_node_1_modality_imu.pickle,2024-05-18 14:34:48.363,11,"['2024-05-18 14.34.50.929', '2024-05-18 14.34.58.229', '2024-05-18 14.35.06.371', '2024-05-18 14.35.14.171', '2024-05-18 14.35.22.171', '2024-05-18 14.35.29.763', '2024-05-18 14.35.37.063', '2024-05-18 14.35.43.804', '2024-05-18 14.35.51.179', '2024-05-18 14.35.58.904', '2024-05-18 14.36.04.379']"
2,lunge,6,0,1,node_1/mmWave/data/20240518143918_node_1_modality_mmwave_subject_2_activity_lunge_trial_1.pickle,imu/20240518143915_node_1_modality_imu.pickle,2024-05-18 14:39:17.333,11,"['2024-05-18 14.39.22.283', '2024-05-18 14.39.29.449', '2024-05-18 14.39.37.949', '2024-05-18 14.39.46.516', '2024-05-18 14.39.54.933', '2024-05-18 14.40.01.641', '2024-05-18 14.40.09.508', '2024-05-18 14.40.17.616', '2024-05-18 14.40.25.249', '2024-05-18 14.40.33.433', '2024-05-18 14.40.39.441']"
2,turn,9,0,1,node_1/mmWave/data/20240518144351_node_1_modality_mmwave_subject_2_activity_turn_trial_1.pickle,imu/20240518144348_node_1_modality_imu.pickle,2024-05-18 14:43:50.544,11,"['2024-05-18 14.43.54.710', '2024-05-18 14.44.04.235', '2024-05-18 14.44.13.510', '2024-05-18 14.44.23.560', '2024-05-18 14.44.31.802', '2024-05-18 14.44.40.385', '2024-05-18 14.44.49.319', '2024-05-18 14.44.58.502', '2024-05-18 14.45.06.660', '2024-05-18 14.45.15.502', '2024-05-18 14.45.22.802']"
2,legraise,7,0,1,node_1/mmWave/data/20240518151446_node_1_modality_mmwave_subject_2_activity_legraise_trial_1.pickle,imu/20240518151443_node_1_modality_imu.pickle,2024-05-18 15:14:45.685,11,"['2024-05-18 15.14.48.268', '2024-05-18 15.14.54.543', '2024-05-18 15.15.02.743', '2024-05-18 15.15.09.293', '2024-05-18 15.15.16.601', '2024-05-18 15.15.23.976', '2024-05-18 15.15.30.726', '2024-05-18 15.15.38.035', '2024-05-18 15.15.45.201', '2024-05-18 15.15.53.676', '2024-05-18 15.16.00.843']"
2,pickup,4,0,1,node_1/mmWave/data/20240518160351_node_1_modality_mmwave_subject_2_activity_pickup_trial_1.pickle,imu/20240518160347_node_1_modality_imu.pickle,2024-05-18 16:03:48.482,11,"['2024-05-18 16.03.52.790', '2024-05-18 16.04.00.065', '2024-05-18 16.04.07.282', '2024-05-18 16.04.15.132', '2024-05-18 16.04.21.257', '2024-05-18 16.04.28.473', '2024-05-18 16.04.34.340', '2024-05-18 16.04.40.532', '2024-05-18 16.04.46.915', '2024-05-18 16.04.53.232', '2024-05-18 16.04.58.657']"
2,stagger,11,0,1,node_1/mmWave/data/20240518183832_node_1_modality_mmwave_subject_2_activity_stagger_trial_1.pickle,imu/20240518183829_node_1_modality_imu.pickle,2024-05-18 18:38:30.931,11,"['2024-05-18 18.38.34.506', '2024-05-18 18.38.44.264', '2024-05-18 18.38.52.797', '2024-05-18 18.39.00.864', '2024-05-18 18.39.08.631', '2024-05-18 18.39.17.156', '2024-05-18 18.39.24.539', '2024-05-18 18.39.32.147', '2024-05-18 18.39.39.831', '2024-05-18 18.39.47.439', '2024-05-18 18.39.55.814']"
2,stretchoneself,8,0,1,node_1/mmWave/data/20240518185654_node_1_modality_mmwave_subject_2_activity_stretchoneself_trial_2.pickle,imu/20240518185651_node_1_modality_imu.pickle,2024-05-18 18:56:52.477,12,"['2024-05-18 18.56.56.835', '2024-05-18 18.57.03.360', '2024-05-18 18.57.09.835', '2024-05-18 18.57.15.085', '2024-05-18 18.57.20.860', '2024-05-18 18.57.26.118', '2024-05-18 18.57.31.552', '2024-05-18 18.57.36.227', '2024-05-18 18.57.41.543', '2024-05-18 18.57.46.043', '2024-05-18 18.57.50.493', '2024-05-18 18.57.54.535']"
1,sit,0,0,1,node_1/mmWave/data/20240519162410_node_1_modality_mmwave_subject_1_activity_sit_trial_1.pickle,imu/20240519162409_node_1_modality_imu.pickle,2024-05-19 16:24:10.742,11,"['2024-05-19 16.24.13.525', '2024-05-19 16.24.17.675', '2024-05-19 16.24.22.625', '2024-05-19 16.24.27.100', '2024-05-19 16.24.32.008', '2024-05-19 16.24.36.533', '2024-05-19 16.24.41.867', '2024-05-19 16.24.46.150', '2024-05-19 16.24.50.725', '2024-05-19 16.24.55.058', '2024-05-19 16.24.59.158']"
1,walk,1,0,1,node_1/mmWave/data/20240519163416_node_1_modality_mmwave_subject_1_activity_walk_trial_3.pickle,imu/20240519163413_node_1_modality_imu.pickle,2024-05-19 16:34:15.877,11,"['2024-05-19 16.34.17.802', '2024-05-19 16.34.24.102', '2024-05-19 16.34.29.668', '2024-05-19 16.34.36.093', '2024-05-19 16.34.42.027', '2024-05-19 16.34.48.510', '2024-05-19 16.34.54.252', '2024-05-19 16.35.00.677', '2024-05-19 16.35.06.918', '2024-05-19 16.35.13.218', '2024-05-19 16.35.19.268']"
1,bow,3,0,1,node_1/mmWave/data/20240519164052_node_1_modality_mmwave_subject_1_activity_bow_trial_2.pickle,imu/20240519164050_node_1_modality_imu.pickle,2024-05-19 16:40:52.214,11,"['2024-05-19 16.40.55.514', '2024-05-19 16.41.00.339', '2024-05-19 16.41.04.847', '2024-05-19 16.41.09.214', '2024-05-19 16.41.13.997', '2024-05-19 16.41.18.364', '2024-05-19 16.41.22.914', '2024-05-19 16.41.27.880', '2024-05-19 16.41.32.797', '2024-05-19 16.41.37.439', '2024-05-19 16.41.41.214']"
1,sleep,2,0,1,node_1/mmWave/data/20240519164458_node_1_modality_mmwave_subject_1_activity_sleep_trial_1.pickle,imu/20240519164455_node_1_modality_imu.pickle,2024-05-19 16:44:57.895,13,"['2024-05-19 16.45.01.961', '2024-05-19 16.45.05.995', '2024-05-19 16.45.09.811', '2024-05-19 16.45.14.228', '2024-05-19 16.45.17.670', '2024-05-19 16.45.22.853', '2024-05-19 16.45.29.670', '2024-05-19 16.45.35.286', '2024-05-19 16.45.40.245', '2024-05-19 16.45.45.811', '2024-05-19 16.45.49.628', '2024-05-19 16.45.53.670', '2024-05-19 16.45.57.536']"
